scenario_id,arm,n_per_class,classifier,classifier_label,subset_id,subset_size,x_label,subset_label,mean_loss,std_loss,se_loss,ci95_low,ci95_high,ci95_half_width,replications,stopping_reason
,real_to_real,2,linear_svm,Linear SVM,0,1,{X1},{PT08.S1(CO)},0.1879238465814341,0.14349973537068436,0.022689300370139467,0.14345281785596076,0.23239487530690744,0.04447102872547335,40,max_budget
,real_to_real,2,logistic_regression,Logistic Regression,0,1,{X1},{PT08.S1(CO)},0.187201222901612,0.14440542736105696,0.022832502847546902,0.14244951732042008,0.23195292848280394,0.044751705581191924,40,max_budget
,real_to_real,2,gaussian_nb,Gaussian Naive Bayes,0,1,{X1},{PT08.S1(CO)},0.2774041133963313,0.22350937477835175,0.035339935134989175,0.20813784053175252,0.34667038626091007,0.06926627286457879,40,max_budget
,real_to_real,2,linear_svm,Linear SVM,1,1,{X2},{PT08.S2(NMHC)},0.07452751528627015,0.05630701090141972,0.008902920134220848,0.05707779182319729,0.09197723874934301,0.01744972346307286,40,max_budget
,real_to_real,2,logistic_regression,Logistic Regression,1,1,{X2},{PT08.S2(NMHC)},0.06431350750416899,0.056543155726770884,0.008940257909509466,0.046790602001530436,0.08183641300680755,0.017522905502638554,40,max_budget
,real_to_real,2,gaussian_nb,Gaussian Naive Bayes,1,1,{X2},{PT08.S2(NMHC)},0.11945525291828792,0.1535193258029055,0.024273536719531953,0.07187912094800529,0.16703138488857056,0.047576131970282626,40,max_budget
,real_to_real,2,linear_svm,Linear SVM,2,1,{X3},{PT08.S3(NOx)},0.3576709282934964,0.14961260863315046,0.023655830498006323,0.311305500517404,0.40403635606958876,0.04636542777609239,40,max_budget
,real_to_real,2,logistic_regression,Logistic Regression,2,1,{X3},{PT08.S3(NOx)},0.3458171206225681,0.13359439846658958,0.02112312908972645,0.30441578760670424,0.38721845363843194,0.04140133301586384,40,max_budget
,real_to_real,2,gaussian_nb,Gaussian Naive Bayes,2,1,{X3},{PT08.S3(NOx)},0.36341022790439126,0.169404414371841,0.026785189755098995,0.31091125598439723,0.4159091998243853,0.05249897191999403,40,max_budget
,real_to_real,2,linear_svm,Linear SVM,3,1,{X4},{PT08.S4(NO2)},0.17317954419121734,0.2156068161550287,0.0340904309053539,0.1063622996167237,0.23999678876571098,0.06681724457449364,40,max_budget
,real_to_real,2,logistic_regression,Logistic Regression,3,1,{X4},{PT08.S4(NO2)},0.17110894941634242,0.21422688328504427,0.03387224436098971,0.10471935046880258,0.23749854836388223,0.06638959894753983,40,max_budget
,real_to_real,2,gaussian_nb,Gaussian Naive Bayes,3,1,{X4},{PT08.S4(NO2)},0.3099221789883268,0.31812525766384064,0.050300019772283634,0.21133414023465089,0.4085102177420027,0.09858803875367592,40,max_budget
,real_to_real,2,linear_svm,Linear SVM,4,1,{X5},{PT08.S5(O3)},0.19651195108393552,0.08164518063266993,0.012909236538755206,0.17120984746797532,0.2218140546998957,0.025302103615960202,40,max_budget
,real_to_real,2,logistic_regression,Logistic Regression,4,1,{X5},{PT08.S5(O3)},0.19672040022234571,0.08148168352601898,0.012883385376361982,0.17146896488467622,0.2219718355600152,0.025251435337669485,40,max_budget
,real_to_real,2,gaussian_nb,Gaussian Naive Bayes,4,1,{X5},{PT08.S5(O3)},0.2617009449694275,0.18459814520943682,0.029187529535216028,0.20449338708040404,0.3189085028584509,0.05720755788902342,40,max_budget
,real_to_real,2,linear_svm,Linear SVM,5,2,"{X1, X2}","{PT08.S1(CO), PT08.S2(NMHC)}",0.089633129516398,0.06250190364663276,0.009882418680987166,0.07026358890166315,0.10900267013113285,0.019369540614734847,40,max_budget
,real_to_real,2,logistic_regression,Logistic Regression,5,2,"{X1, X2}","{PT08.S1(CO), PT08.S2(NMHC)}",0.09442745969983324,0.06764188107122798,0.01069512047016553,0.0734650235783088,0.11538989582135768,0.02096243612152444,40,max_budget
,real_to_real,2,gaussian_nb,Gaussian Naive Bayes,5,2,"{X1, X2}","{PT08.S1(CO), PT08.S2(NMHC)}",0.1526959421901056,0.16374731741624277,0.02589072418889425,0.10195012277987286,0.20344176160033833,0.050745819410232734,40,max_budget
,real_to_real,2,linear_svm,Linear SVM,6,2,"{X1, X3}","{PT08.S1(CO), PT08.S3(NOx)}",0.24141189549749864,0.13539671043359272,0.021408099633221857,0.1994520202163838,0.2833717707786135,0.04195987528111484,40,max_budget
,real_to_real,2,logistic_regression,Logistic Regression,6,2,"{X1, X3}","{PT08.S1(CO), PT08.S3(NOx)}",0.23308782657031682,0.12500522619709112,0.019765061710367814,0.1943483056179959,0.2718273475226377,0.038739520952320916,40,max_budget
,real_to_real,2,gaussian_nb,Gaussian Naive Bayes,6,2,"{X1, X3}","{PT08.S1(CO), PT08.S3(NOx)}",0.3083240689271817,0.22654660969908255,0.03582016414191469,0.23811654720902892,0.37853159064533454,0.0702075217181528,40,max_budget
,real_to_real,2,linear_svm,Linear SVM,7,2,"{X1, X4}","{PT08.S1(CO), PT08.S4(NO2)}",0.1409255141745414,0.1564405816955728,0.024735427831982803,0.09244407562385512,0.1894069527252277,0.04848143855068629,40,max_budget
,real_to_real,2,logistic_regression,Logistic Regression,7,2,"{X1, X4}","{PT08.S1(CO), PT08.S4(NO2)}",0.12003891050583657,0.14567529876622154,0.02303328714633883,0.07489366769901246,0.16518415331266068,0.0451452428068241,40,max_budget
,real_to_real,2,gaussian_nb,Gaussian Naive Bayes,7,2,"{X1, X4}","{PT08.S1(CO), PT08.S4(NO2)}",0.3232490272373541,0.3130367784150548,0.04949546055965034,0.22623792454043945,0.42026012993426876,0.09701110269691467,40,max_budget
