scenario_id,arm,n_per_class,classifier,classifier_label,subset_id,subset_size,x_label,subset_label,mean_loss,std_loss,se_loss,ci95_low,ci95_high,ci95_half_width,replications,stopping_reason
,real_to_real,2,linear_svm,Linear SVM,0,1,{X1},{PT08.S1(CO)},0.1736325736520289,0.11558200471739226,0.0025844921952379043,0.1685669689493626,0.17869817835469518,0.005065604702666292,2000,max_budget
,real_to_real,2,logistic_regression,Logistic Regression,0,1,{X1},{PT08.S1(CO)},0.16712784880489162,0.10664309830793643,0.0023846121714773865,0.16245400894879594,0.1718016886609873,0.004673839856095678,2000,max_budget
,real_to_real,2,gaussian_nb,Gaussian Naive Bayes,0,1,{X1},{PT08.S1(CO)},0.28553001667593103,0.21762238264164693,0.004866184410121928,0.27599229523209207,0.29506773811977,0.009537721443838978,2000,max_budget
,real_to_real,2,linear_svm,Linear SVM,1,1,{X2},{PT08.S2(NMHC)},0.07504224569205115,0.05760117809526609,0.0012880014980508683,0.07251776275587145,0.07756672862823084,0.0025244829361797017,2000,max_budget
,real_to_real,2,logistic_regression,Logistic Regression,1,1,{X2},{PT08.S2(NMHC)},0.05917426347971094,0.047355037080218064,0.0010588908198839076,0.05709883747273849,0.0612496894866834,0.0020754260069724586,2000,max_budget
,real_to_real,2,gaussian_nb,Gaussian Naive Bayes,1,1,{X2},{PT08.S2(NMHC)},0.17782740411339631,0.2237666303551012,0.0050035739657007415,0.16802039914062286,0.18763440908616977,0.009807004972773453,2000,max_budget
,real_to_real,2,linear_svm,Linear SVM,2,1,{X3},{PT08.S3(NOx)},0.3738279599777654,0.16065538271583016,0.00359236356703841,0.36678692738637014,0.3808689925691607,0.0070410325913952835,2000,max_budget
,real_to_real,2,logistic_regression,Logistic Regression,2,1,{X3},{PT08.S3(NOx)},0.3491192329071707,0.13816684310244562,0.003089504534136163,0.3430638040202638,0.35517466179407753,0.006055428886906879,2000,max_budget
,real_to_real,2,gaussian_nb,Gaussian Naive Bayes,2,1,{X3},{PT08.S3(NOx)},0.35570122290161205,0.1904521351492549,0.00425863920653711,0.3473542900567993,0.3640481557464248,0.008346932844812735,2000,max_budget
,real_to_real,2,linear_svm,Linear SVM,3,1,{X4},{PT08.S4(NO2)},0.14005836575875485,0.1424006214418787,0.003184174695822549,0.13381738335494267,0.14629934816256704,0.006240982403812196,2000,max_budget
,real_to_real,2,logistic_regression,Logistic Regression,3,1,{X4},{PT08.S4(NO2)},0.13887354085603112,0.14185551294706447,0.003171985699327377,0.13265644888534947,0.14509063282671278,0.006217091970681658,2000,max_budget
,real_to_real,2,gaussian_nb,Gaussian Naive Bayes,3,1,{X4},{PT08.S4(NO2)},0.34501750972762646,0.3156518082569018,0.007058189004831618,0.3311834592781565,0.3588515601770964,0.01383405044946997,2000,max_budget
,real_to_real,2,linear_svm,Linear SVM,4,1,{X5},{PT08.S5(O3)},0.20424402445803225,0.11103042368134133,0.0024827157492208164,0.19937790158955945,0.20911014732650504,0.0048661228684728,2000,max_budget
