scenario_id,arm,n_per_class,classifier,classifier_label,subset_id,subset_size,x_label,subset_label,mean_loss,std_loss,se_loss,ci95_low,ci95_high,ci95_half_width,replications,stopping_reason
,single_gaussian_to_real,2,linear_svm,Linear SVM,0,1,{X1},{PT08.S1(CO)},0.16765369649805448,0.11930070517985639,0.0026676448654582015,0.1624251125617564,0.17288228043435255,0.005228583936298075,2000,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,0,1,{X1},{PT08.S1(CO)},0.16619649805447473,0.11491791805079164,0.002569642765943202,0.16115999823322605,0.1712329978757234,0.005036499821248676,2000,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,0,1,{X1},{PT08.S1(CO)},0.2796561978877154,0.21612800240007524,0.004832769052078059,0.2701839705456424,0.2891284252297884,0.009472227342072995,2000,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,1,1,{X2},{PT08.S2(NMHC)},0.06649722067815451,0.061564649731576056,0.0013766274181076824,0.06379903093866346,0.06919541041764557,0.0026981897394910575,2000,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,1,1,{X2},{PT08.S2(NMHC)},0.06079099499722068,0.05633611202963089,0.001259713760862983,0.05832195602592923,0.06326003396851212,0.002469038971291447,2000,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,1,1,{X2},{PT08.S2(NMHC)},0.19538076709282934,0.227189323647489,0.005080107714379859,0.18542375597264482,0.20533777821301386,0.009957011120184522,2000,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,2,1,{X3},{PT08.S3(NOx)},0.41808810450250145,0.1751927921820099,0.003917429924869678,0.4104099418497569,0.425766267155246,0.007678162652744569,2000,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,2,1,{X3},{PT08.S3(NOx)},0.37759783212896053,0.1692906011551562,0.003785452921347337,0.37017834440311975,0.3850173198548013,0.0074194877258407805,2000,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,2,1,{X3},{PT08.S3(NOx)},0.37719844357976656,0.19541268710738777,0.004369560520380158,0.36863410495982146,0.38576278219971166,0.00856433861994511,2000,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,3,1,{X4},{PT08.S4(NO2)},0.13722734852695942,0.1373848397190716,0.0030720184068975718,0.13120619244944018,0.14324850460447866,0.006021156077519241,2000,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,3,1,{X4},{PT08.S4(NO2)},0.13602612562534744,0.13765523562858276,0.0030780646432426203,0.1299931189245919,0.14205913232610298,0.006033006700755536,2000,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,3,1,{X4},{PT08.S4(NO2)},0.34388604780433574,0.31254148105119034,0.00698863997418924,0.33018831345492483,0.35758378215374664,0.013697734349410911,2000,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,4,1,{X5},{PT08.S5(O3)},0.1947065036131184,0.11375952036494152,0.002543740206237809,0.1897207728088923,0.1996922344173445,0.004985730804226106,2000,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,4,1,{X5},{PT08.S5(O3)},0.19364369093941078,0.10576401567909959,0.0023649552863182024,0.1890083785782271,0.19827900330059445,0.004635312361183677,2000,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,4,1,{X5},{PT08.S5(O3)},0.3072201222901612,0.2136481633818058,0.0047773181658969915,0.2978565786850031,0.31658366589531933,0.009363543605158103,2000,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,5,2,"{X1, X2}","{PT08.S1(CO), PT08.S2(NMHC)}",0.09463312951639802,0.07241103657549124,0.0016191600010402197,0.09145957591435919,0.09780668311843685,0.0031735536020388306,2000,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,5,2,"{X1, X2}","{PT08.S1(CO), PT08.S2(NMHC)}",0.09186964980544747,0.06543924306563069,0.0014632659589088194,0.08900164852598619,0.09473765108490875,0.002868001279461286,2000,max_budget
