scenario_id,arm,n_per_class,classifier,classifier_label,subset_id,subset_size,x_label,subset_label,mean_loss,std_loss,se_loss,ci95_low,ci95_high,ci95_half_width,replications,stopping_reason
,gmm_to_real,2,linear_svm,Linear SVM,0,1,{X1},{meanbp},0.4967323943661972,0.03137448776736242,0.009921484176595628,0.4772862853800698,0.5161785033523246,0.01944610898612743,10,converged
,gmm_to_real,2,logistic_regression,Logistic Regression,0,1,{X1},{meanbp},0.4929577464788732,0.03929238098212561,0.01242534185946007,0.46860407643433144,0.517311416523415,0.024353670044541736,10,converged
,gmm_to_real,2,gaussian_nb,Gaussian Naive Bayes,0,1,{X1},{meanbp},0.49397183098591546,0.030115883364477437,0.009523478517972353,0.47530581309068964,0.5126378488811413,0.01866601789522581,10,converged
,gmm_to_real,2,linear_svm,Linear SVM,1,1,{X2},{hrt},0.5114366197183099,0.030536851239966325,0.009656600248803058,0.4925096832306559,0.5303635562059639,0.018926936487653992,10,converged
,gmm_to_real,2,logistic_regression,Logistic Regression,1,1,{X2},{hrt},0.512281690140845,0.026939096411552413,0.008518890276737434,0.49558466519843963,0.5289787150832503,0.01669702494240537,10,converged
,gmm_to_real,2,gaussian_nb,Gaussian Naive Bayes,1,1,{X2},{hrt},0.4993802816901408,0.019970133533132154,0.006315110714240324,0.4870026646902298,0.5117578986900518,0.012377616999911033,10,converged
,gmm_to_real,2,linear_svm,Linear SVM,2,1,{X3},{resp},0.4975211267605634,0.037158857750136685,0.011750662574063188,0.4744898281153996,0.5205524254057273,0.023031298645163848,10,converged
,gmm_to_real,2,logistic_regression,Logistic Regression,2,1,{X3},{resp},0.5020845070422536,0.03737683676500437,0.011819593590973346,0.4789181036039458,0.5252509104805614,0.02316640343830776,10,converged
,gmm_to_real,2,gaussian_nb,Gaussian Naive Bayes,2,1,{X3},{resp},0.4976338028169014,0.03306449814033394,0.010455912381385692,0.47714021454938543,0.5181273910844173,0.020493588267515954,10,converged
,gmm_to_real,2,linear_svm,Linear SVM,3,1,{X4},{temp},0.5010704225352113,0.02590487637203773,0.00819184118407186,0.48501441381443045,0.5171264312559921,0.016056008720780845,10,converged
,gmm_to_real,2,logistic_regression,Logistic Regression,3,1,{X4},{temp},0.5025915492957747,0.020128880081930284,0.006365310780729639,0.49011554016554454,0.5150675584260047,0.012476009130230092,10,converged
,gmm_to_real,2,gaussian_nb,Gaussian Naive Bayes,3,1,{X4},{temp},0.4935774647887324,0.02633055386736144,0.00832645222746172,0.4772576184229074,0.5098973111545574,0.01631984636582497,10,converged
,gmm_to_real,2,linear_svm,Linear SVM,4,1,{X5},{wblc},0.5041126760563381,0.041669664641203495,0.013177104960158604,0.47828555033442727,0.529939801778249,0.025827125721910864,10,converged
,gmm_to_real,2,logistic_regression,Logistic Regression,4,1,{X5},{wblc},0.500056338028169,0.043806374365550654,0.013852791902915359,0.4729048658984549,0.5272078101578831,0.027151472129714103,10,converged
