scenario_id,arm,n_per_class,classifier,classifier_label,subset_id,subset_size,x_label,subset_label,mean_loss,std_loss,se_loss,ci95_low,ci95_high,ci95_half_width,replications,stopping_reason
,single_gaussian_to_real,2,linear_svm,Linear SVM,0,1,{X1},{PT08.S1(CO)},0.15678154530294608,0.13321114520305946,0.021062531428054053,0.11549898370396014,0.19806410690193202,0.04128256159898594,40,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,0,1,{X1},{PT08.S1(CO)},0.1525986659255142,0.13230949222127836,0.020919967573978526,0.11159552948051628,0.1936018023705121,0.04100313644499791,40,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,0,1,{X1},{PT08.S1(CO)},0.2801000555864369,0.22935475048033915,0.03626417018487347,0.2090222820240849,0.3511778291487889,0.071077773562352,40,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,1,1,{X2},{PT08.S2(NMHC)},0.06488326848249028,0.0463726843529023,0.007332165188561135,0.050512224712910454,0.07925431225207011,0.014371043769579825,40,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,1,1,{X2},{PT08.S2(NMHC)},0.05733740967204002,0.041893631064169094,0.006623964680877899,0.04435443889751934,0.0703203804465607,0.012982970774520682,40,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,1,1,{X2},{PT08.S2(NMHC)},0.23125347415230685,0.2339527709113391,0.03699118104937091,0.1587507592955399,0.3037561890090738,0.07250271485676697,40,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,2,1,{X3},{PT08.S3(NOx)},0.4362979433018343,0.16219749208767237,0.02564567528820919,0.3860324197369443,0.4865634668667243,0.05026552356489001,40,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,2,1,{X3},{PT08.S3(NOx)},0.3976792662590328,0.13304849774512056,0.021036814606917885,0.3564471096294738,0.43891142288859186,0.04123215662955906,40,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,2,1,{X3},{PT08.S3(NOx)},0.41443857698721515,0.2232134438052829,0.0352931443397348,0.34526401408133495,0.48361313989309535,0.06917456290588021,40,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,3,1,{X4},{PT08.S4(NO2)},0.12659811006114507,0.12651024841785788,0.0200030266177072,0.08739217789043896,0.1658040422318512,0.039205932170706115,40,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,3,1,{X4},{PT08.S4(NO2)},0.13046136742634798,0.12982529380917043,0.02052718131687679,0.09022809204526946,0.1706946428074265,0.04023327538107851,40,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,3,1,{X4},{PT08.S4(NO2)},0.3231378543635353,0.3046790899554501,0.0481739939843276,0.22871682615425323,0.41755888257281737,0.09442102820928208,40,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,4,1,{X5},{PT08.S5(O3)},0.1802390216787104,0.13845539775075486,0.021891720561846965,0.13733124937749033,0.22314679397993045,0.04290777230122005,40,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,4,1,{X5},{PT08.S5(O3)},0.1780433574207893,0.11841093393831478,0.01872241255564033,0.14134742881173426,0.21473928602984435,0.036695928609055045,40,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,4,1,{X5},{PT08.S5(O3)},0.283532518065592,0.21766489310893775,0.0344158414440666,0.21607746883522144,0.35098756729596253,0.06745504923037053,40,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,5,2,"{X1, X2}","{PT08.S1(CO), PT08.S2(NMHC)}",0.08878543635352973,0.06183209787920006,0.009776513090236949,0.0696234706966653,0.10794740201039416,0.01916196565686442,40,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,5,2,"{X1, X2}","{PT08.S1(CO), PT08.S2(NMHC)}",0.08147581989994442,0.048181361693606935,0.007618142186009286,0.06654426121536622,0.09640737858452261,0.014931558684578199,40,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,5,2,"{X1, X2}","{PT08.S1(CO), PT08.S2(NMHC)}",0.2700389105058366,0.24980878328175468,0.039498236734286846,0.1926223665066344,0.34745545450503884,0.07741654399920221,40,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,6,2,"{X1, X3}","{PT08.S1(CO), PT08.S3(NOx)}",0.24153696498054478,0.1532578773765724,0.024232198093637986,0.19404185671701432,0.2890320732440752,0.04749510826353045,40,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,6,2,"{X1, X3}","{PT08.S1(CO), PT08.S3(NOx)}",0.23119788771539743,0.12644388849523552,0.01999253419266524,0.19201252069777355,0.27038325473302127,0.03918536701762387,40,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,6,2,"{X1, X3}","{PT08.S1(CO), PT08.S3(NOx)}",0.39513618677042806,0.26145858344794576,0.04134023187483544,0.3141093322957506,0.4761630412451055,0.08102685447467746,40,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,7,2,"{X1, X4}","{PT08.S1(CO), PT08.S4(NO2)}",0.12547248471372985,0.13166751776895577,0.020818462500529596,0.08466829821269184,0.16627667121476786,0.04080418650103801,40,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,7,2,"{X1, X4}","{PT08.S1(CO), PT08.S4(NO2)}",0.10622568093385212,0.11936247035411866,0.018872863673166995,0.06923486813444482,0.14321649373325943,0.03699081279940731,40,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,7,2,"{X1, X4}","{PT08.S1(CO), PT08.S4(NO2)}",0.29274596998332403,0.29081273334624747,0.04598153049766711,0.2026221702078965,0.38286976975875153,0.09012379977542753,40,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,8,2,"{X1, X5}","{PT08.S1(CO), PT08.S5(O3)}",0.1661756531406337,0.1368894278407708,0.02164411897870504,0.12375317994237182,0.20859812633889557,0.04242247319826188,40,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,8,2,"{X1, X5}","{PT08.S1(CO), PT08.S5(O3)}",0.15325180655919954,0.1144427408317156,0.01809498613502869,0.11778563373454332,0.18871797938385576,0.03546617282465623,40,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,8,2,"{X1, X5}","{PT08.S1(CO), PT08.S5(O3)}",0.2991384102279044,0.24606928850218682,0.038906970694199655,0.22288074766727306,0.3753960727885357,0.07625766256063132,40,max_budget
,single_gaussian_to_real,2,linear_svm,Linear SVM,9,2,"{X2, X3}","{PT08.S2(NMHC), PT08.S3(NOx)}",0.14715119510839356,0.1339904846538753,0.021185755814804197,0.10562711371137734,0.18867527650540977,0.04152408139701622,40,max_budget
,single_gaussian_to_real,2,logistic_regression,Logistic Regression,9,2,"{X2, X3}","{PT08.S2(NMHC), PT08.S3(NOx)}",0.1447609783212896,0.08936050988248817,0.0141291372051324,0.11706786939923008,0.1724540872433491,0.027693108922059506,40,max_budget
,single_gaussian_to_real,2,gaussian_nb,Gaussian Naive Bayes,9,2,"{X2, X3}","{PT08.S2(NMHC), PT08.S3(NOx)}",0.30621178432462476,0.26703605815733533,0.04222210805851828,0.22345645252992893,0.38896711611932056,0.08275533179469582,40,max_budget
